45,49,49,65,65,45,이상해씨,4,1,12,2,173,235,795,778,308,791,801,147,204,769,790,
60,62,63,80,80,60,이상해풀,4,1,32,3,173,235,795,778,308,791,801,147,204,769,790,
80,82,83,100,100,80,이상해꽃,4,0,1,3,173,235,795,778,308,791,801,147,204,769,790,
39,52,43,60,50,65,파이리,2,1,16,5,295,235,496,14,228,121,522,185,356,525,,
58,64,58,80,65,80,리자드,2,1,36,6,295,235,496,14,228,121,522,185,356,525,,
78,84,78,109,85,100,리자몽,2,0,1,6,295,235,496,511,228,14,121,522,530,185,356,525
44,48,65,50,64,43,꼬부기,3,1,16,8,173,135,391,395,401,574,124,179,407,158,432,
59,73,80,65,80,58,어니부기,3,1,36,9,173,135,391,395,401,574,124,179,407,158,432,
79,83,100,85,105,78,거북왕,3,0,1,9,173,135,391,395,401,574,124,179,407,158,432,
45,30,35,20,20,45,캐터피,12,1,12,11,173,477,,,,,,,,,,
50,20,55,25,25,30,단데기,12,1,24,12,146,,,,,,,,,,,
60,45,50,90,80,70,버터플,12,0,1,12,674,308,802,791,266,139,535,700,214,482,,
40,35,30,20,20,50,뿔충이,12,1,12,14,,,,,,,,,,,,
45,25,50,25,25,35,딱충이,12,1,24,15,,,,,,,,,,,,
65,90,40,45,80,75,독침붕,12,0,1,15,,,,,,,,,,,,
40,45,40,35,35,56,구구,10,1,16,17,,,,,,,,,,,,
63,60,55,50,50,71,피죤,10,1,32,18,,,,,,,,,,,,
83,80,75,70,70,101,피죤투,10,0,1,18,,,,,,,,,,,,
30,56,35,25,35,72,꼬렛,1,1,18,20,,,,,,,,,,,,
55,81,60,50,70,97,레트라,1,0,1,20,,,,,,,,,,,,
40,60,30,31,31,70,깨비참,10,1,18,22,,,,,,,,,,,,
65,90,65,61,61,100,깨비드릴조,10,0,1,22,,,,,,,,,,,,
35,60,44,40,54,55,아보,8,1,18,24,,,,,,,,,,,,
60,95,69,65,79,80,아보크,8,0,1,24,,,,,,,,,,,,
35,55,40,50,50,90,피카츄,5,1,1,26,,,,,,,,,,,,
60,90,55,90,80,110,라이츄,5,0,1,26,,,,,,,,,,,,
